Character;Pinyin;Reason
丆;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
乊;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
乤;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
乥;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
乧;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
乫;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
乷;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
乺;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
乼;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
二;er4;'er' (Erhua) or 'r' syllable outside grid
亪;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
仒;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
佴;er4;'er' (Erhua) or 'r' syllable outside grid
働;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
儿;r5;'er' (Erhua) or 'r' syllable outside grid
児;er2;'er' (Erhua) or 'r' syllable outside grid
刵;er4;'er' (Erhua) or 'r' syllable outside grid
匁;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
厼;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
呣;m2;Syllabic consonant (exclamation): 'm'
咡;er4;'er' (Erhua) or 'r' syllable outside grid
唲;er2;'er' (Erhua) or 'r' syllable outside grid
噷;hm5;Syllabic consonant (exclamation): 'hm'
壭;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
尓;er3;'er' (Erhua) or 'r' syllable outside grid
尔;er3;'er' (Erhua) or 'r' syllable outside grid
峠;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
弍;er4;'er' (Erhua) or 'r' syllable outside grid
弐;er4;'er' (Erhua) or 'r' syllable outside grid
朩;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
朰;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
栭;er2;'er' (Erhua) or 'r' syllable outside grid
樲;er4;'er' (Erhua) or 'r' syllable outside grid
洏;er2;'er' (Erhua) or 'r' syllable outside grid
洱;er3;'er' (Erhua) or 'r' syllable outside grid
珥;er3;'er' (Erhua) or 'r' syllable outside grid
瓧;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
畓;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
罖;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
而;er2;'er' (Erhua) or 'r' syllable outside grid
耏;er2;'er' (Erhua) or 'r' syllable outside grid
耳;er3;'er' (Erhua) or 'r' syllable outside grid
胹;er2;'er' (Erhua) or 'r' syllable outside grid
薾;er3;'er' (Erhua) or 'r' syllable outside grid
衈;er4;'er' (Erhua) or 'r' syllable outside grid
贰;er4;'er' (Erhua) or 'r' syllable outside grid
輀;er2;'er' (Erhua) or 'r' syllable outside grid
轜;er2;'er' (Erhua) or 'r' syllable outside grid
込;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
迩;er3;'er' (Erhua) or 'r' syllable outside grid
鎹;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
铒;er3;'er' (Erhua) or 'r' syllable outside grid
陑;er2;'er' (Erhua) or 'r' syllable outside grid
饵;er3;'er' (Erhua) or 'r' syllable outside grid
駬;er3;'er' (Erhua) or 'r' syllable outside grid
鲕;er2;'er' (Erhua) or 'r' syllable outside grid
鸸;er2;'er' (Erhua) or 'r' syllable outside grid
龶;xx5;"Invalid/non-standard finale: ""xx"" (possibly xx5 artifact)"
