Caractere;Pinyin;Raison
丆;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
乊;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
乤;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
乥;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
乧;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
乫;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
乷;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
乺;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
乼;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
二;er4;Syllabe 'er' (儿化音) ou 'r' hors grille
亪;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
仒;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
佴;er4;Syllabe 'er' (儿化音) ou 'r' hors grille
働;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
儿;r5;Syllabe 'er' (儿化音) ou 'r' hors grille
児;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
刵;er4;Syllabe 'er' (儿化音) ou 'r' hors grille
匁;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
厼;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
呣;m2;Consonne syllabique (叹词): 'm'
咡;er4;Syllabe 'er' (儿化音) ou 'r' hors grille
唲;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
噷;hm5;Consonne syllabique (叹词): 'hm'
壭;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
尓;er3;Syllabe 'er' (儿化音) ou 'r' hors grille
尔;er3;Syllabe 'er' (儿化音) ou 'r' hors grille
峠;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
弍;er4;Syllabe 'er' (儿化音) ou 'r' hors grille
弐;er4;Syllabe 'er' (儿化音) ou 'r' hors grille
朩;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
朰;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
栭;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
樲;er4;Syllabe 'er' (儿化音) ou 'r' hors grille
洏;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
洱;er3;Syllabe 'er' (儿化音) ou 'r' hors grille
珥;er3;Syllabe 'er' (儿化音) ou 'r' hors grille
瓧;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
畓;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
罖;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
而;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
耏;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
耳;er3;Syllabe 'er' (儿化音) ou 'r' hors grille
胹;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
薾;er3;Syllabe 'er' (儿化音) ou 'r' hors grille
衈;er4;Syllabe 'er' (儿化音) ou 'r' hors grille
贰;er4;Syllabe 'er' (儿化音) ou 'r' hors grille
輀;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
轜;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
込;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
迩;er3;Syllabe 'er' (儿化音) ou 'r' hors grille
鎹;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
铒;er3;Syllabe 'er' (儿化音) ou 'r' hors grille
陑;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
饵;er3;Syllabe 'er' (儿化音) ou 'r' hors grille
駬;er3;Syllabe 'er' (儿化音) ou 'r' hors grille
鲕;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
鸸;er2;Syllabe 'er' (儿化音) ou 'r' hors grille
龶;xx5;"Finale invalide/non standard: ""xx"" (peut-être artefact xx5)"
