caractere,pinyin,initial_raw,finale,groupe_rime,type,tone,nasal,initial,lieu,polarite
一,yi1,y,i,Simple,oral,1,0,y,Semi-voyelle,2P+1N
丁,ding1,d,ing,Médiale-i,nasal,1,1,d,Dentale,1P+2N
丂,kao3,k,ao,Simple,oral,3,0,k,Vélaire,1P+2N
七,qi1,q,i,Simple,oral,1,0,q,Palatale,2P+1N
丄,shang4,sh,ang,Nasal,nasal,4,1,sh,Rétroflexe,1P+2N
丅,xia4,x,ia,Médiale-i,oral,4,0,x,Palatale,1P+2N
万,wan4,w,uan,Médiale-u,nasal,4,1,w,Semi-voyelle,2P+1N
丈,zhang4,zh,ang,Nasal,nasal,4,1,zh,Rétroflexe,1P+2N
三,san1,s,an,Nasal,nasal,1,1,s,Sifflante,1P+2N
上,shang4,sh,ang,Nasal,nasal,4,1,sh,Rétroflexe,1P+2N
下,xia4,x,ia,Médiale-i,oral,4,0,x,Palatale,1P+2N
丌,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
不,bu4,b,u,Simple,oral,4,0,b,Labiale,1P+2N
与,yu3,y,ü,Simple,oral,3,0,y,Semi-voyelle,2P+1N
丏,mian3,m,ian,Médiale-i,nasal,3,1,m,Labiale,1P+2N
丐,gai4,g,ai,Simple,oral,4,0,g,Vélaire,1P+2N
丑,chou3,ch,ou,Simple,oral,3,0,ch,Rétroflexe,3P
丒,chou3,ch,ou,Simple,oral,3,0,ch,Rétroflexe,3P
专,zhuan1,zh,uan,Médiale-u,nasal,1,1,zh,Rétroflexe,1P+2N
且,qie3,q,ie,Médiale-i,oral,3,0,q,Palatale,2P+1N
丕,pi1,p,i,Simple,oral,1,0,p,Labiale,2P+1N
世,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
丗,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
丘,qiu1,q,iu,Médiale-i,oral,1,0,q,Palatale,2P+1N
丙,bing3,b,ing,Médiale-i,nasal,3,1,b,Labiale,1P+2N
业,ye4,y,ie,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
丛,cong2,c,ong,Médiale-u,nasal,2,1,c,Sifflante,1P+2N
东,dong1,d,ong,Médiale-u,nasal,1,1,d,Dentale,1P+2N
丝,si1,s,i,Simple,oral,1,0,s,Sifflante,1P+2N
丞,cheng2,ch,eng,Nasal,nasal,2,1,ch,Rétroflexe,3P
丠,qiu1,q,iu,Médiale-i,oral,1,0,q,Palatale,2P+1N
両,liang3,l,iang,Médiale-i,nasal,3,1,l,Dentale,3P
丢,diu1,d,iu,Médiale-i,oral,1,0,d,Dentale,1P+2N
丣,you3,y,iu,Médiale-i,oral,3,0,y,Semi-voyelle,2P+1N
两,liang3,l,iang,Médiale-i,nasal,3,1,l,Dentale,3P
严,yan2,y,ian,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
丧,sang1,s,ang,Nasal,nasal,1,1,s,Sifflante,1P+2N
丨,gun3,g,un,Médiale-u,nasal,3,1,g,Vélaire,1P+2N
丩,jiu1,j,iu,Médiale-i,oral,1,0,j,Palatale,1P+2N
个,ge5,g,e,Simple,oral,5,0,g,Vélaire,1P+2N
丫,ya1,y,ia,Médiale-i,oral,1,0,y,Semi-voyelle,2P+1N
丬,qiang2,q,iang,Médiale-i,nasal,2,1,q,Palatale,2P+1N
中,zhong1,zh,ong,Médiale-u,nasal,1,1,zh,Rétroflexe,1P+2N
丮,ji3,j,i,Simple,oral,3,0,j,Palatale,1P+2N
丰,feng1,f,eng,Nasal,nasal,1,1,f,Labiale,2P+1N
丱,guan4,g,uan,Médiale-u,nasal,4,1,g,Vélaire,1P+2N
串,chuan4,ch,uan,Médiale-u,nasal,4,1,ch,Rétroflexe,3P
丳,chan3,ch,an,Nasal,nasal,3,1,ch,Rétroflexe,3P
临,lin2,l,in,Médiale-i,nasal,2,1,l,Dentale,3P
丵,zhuo2,zh,uo,Médiale-u,oral,2,0,zh,Rétroflexe,1P+2N
丶,zhu3,zh,u,Simple,oral,3,0,zh,Rétroflexe,1P+2N
丷,ba1,b,a,Simple,oral,1,0,b,Labiale,1P+2N
丸,wan2,w,uan,Médiale-u,nasal,2,1,w,Semi-voyelle,2P+1N
丹,dan1,d,an,Nasal,nasal,1,1,d,Dentale,1P+2N
为,wei2,w,ui,Médiale-u,oral,2,0,w,Semi-voyelle,2P+1N
主,zhu3,zh,u,Simple,oral,3,0,zh,Rétroflexe,1P+2N
丼,dong4,d,ong,Médiale-u,nasal,4,1,d,Dentale,1P+2N
丽,li4,l,i,Simple,oral,4,0,l,Dentale,3P
举,ju3,j,ü,Simple,oral,3,0,j,Palatale,1P+2N
丿,pie3,p,ie,Médiale-i,oral,3,0,p,Labiale,2P+1N
乀,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
乂,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
乃,nai3,n,ai,Simple,oral,3,0,n,Dentale,1P+2N
久,jiu3,j,iu,Médiale-i,oral,3,0,j,Palatale,1P+2N
乆,jiu3,j,iu,Médiale-i,oral,3,0,j,Palatale,1P+2N
乇,tuo1,t,uo,Médiale-u,oral,1,0,t,Dentale,3P
么,me5,m,e,Simple,oral,5,0,m,Labiale,1P+2N
义,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
之,zhi1,zh,i,Simple,oral,1,0,zh,Rétroflexe,1P+2N
乌,wu1,w,u,Simple,oral,1,0,w,Semi-voyelle,2P+1N
乍,zha4,zh,a,Simple,oral,4,0,zh,Rétroflexe,1P+2N
乎,hu1,h,u,Simple,oral,1,0,h,Vélaire,2P+1N
乏,fa2,f,a,Simple,oral,2,0,f,Labiale,2P+1N
乐,yue4,y,üe,Complexe,oral,4,0,y,Semi-voyelle,2P+1N
乑,zhong4,zh,ong,Médiale-u,nasal,4,1,zh,Rétroflexe,1P+2N
乒,ping1,p,ing,Médiale-i,nasal,1,1,p,Labiale,2P+1N
乓,pang1,p,ang,Nasal,nasal,1,1,p,Labiale,2P+1N
乔,qiao2,q,iao,Médiale-i,oral,2,0,q,Palatale,2P+1N
乕,hu3,h,u,Simple,oral,3,0,h,Vélaire,2P+1N
乖,guai1,g,uai,Médiale-u,oral,1,0,g,Vélaire,1P+2N
乗,cheng2,ch,eng,Nasal,nasal,2,1,ch,Rétroflexe,3P
乘,cheng2,ch,eng,Nasal,nasal,2,1,ch,Rétroflexe,3P
乙,yi3,y,i,Simple,oral,3,0,y,Semi-voyelle,2P+1N
乛,zhe2,zh,e,Simple,oral,2,0,zh,Rétroflexe,1P+2N
乜,nie4,n,ie,Médiale-i,oral,4,0,n,Dentale,1P+2N
九,jiu3,j,iu,Médiale-i,oral,3,0,j,Palatale,1P+2N
乞,qi3,q,i,Simple,oral,3,0,q,Palatale,2P+1N
也,ye3,y,ie,Médiale-i,oral,3,0,y,Semi-voyelle,2P+1N
习,xi2,x,i,Simple,oral,2,0,x,Palatale,1P+2N
乡,xiang1,x,iang,Médiale-i,nasal,1,1,x,Palatale,1P+2N
乢,gai4,g,ai,Simple,oral,4,0,g,Vélaire,1P+2N
乣,jiu3,j,iu,Médiale-i,oral,3,0,j,Palatale,1P+2N
书,shu1,sh,u,Simple,oral,1,0,sh,Rétroflexe,1P+2N
乨,shi3,sh,i,Simple,oral,3,0,sh,Rétroflexe,1P+2N
乩,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
乪,nang1,n,ang,Nasal,nasal,1,1,n,Dentale,1P+2N
乭,shi2,sh,i,Simple,oral,2,0,sh,Rétroflexe,1P+2N
买,mai3,m,ai,Simple,oral,3,0,m,Labiale,1P+2N
乱,luan4,l,uan,Médiale-u,nasal,4,1,l,Dentale,3P
乳,ru3,r,u,Simple,oral,3,0,r,Rétroflexe,1P+2N
乴,xue2,x,üe,Complexe,oral,2,0,x,Palatale,1P+2N
乶,fu3,f,u,Simple,oral,3,0,f,Labiale,2P+1N
乸,na3,n,a,Simple,oral,3,0,n,Dentale,1P+2N
乾,qian2,q,ian,Médiale-i,nasal,2,1,q,Palatale,2P+1N
乿,luan4,l,uan,Médiale-u,nasal,4,1,l,Dentale,3P
亀,gui1,g,ui,Médiale-u,oral,1,0,g,Vélaire,1P+2N
亃,lin2,l,in,Médiale-i,nasal,2,1,l,Dentale,3P
亄,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
亅,jue2,j,üe,Complexe,oral,2,0,j,Palatale,1P+2N
了,liao3,l,iao,Médiale-i,oral,3,0,l,Dentale,3P
亇,ge4,g,e,Simple,oral,4,0,g,Vélaire,1P+2N
予,yu3,y,ü,Simple,oral,3,0,y,Semi-voyelle,2P+1N
争,zheng1,zh,eng,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
亊,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
事,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
亍,chu4,ch,u,Simple,oral,4,0,ch,Rétroflexe,3P
于,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
亏,kui1,k,ui,Médiale-u,oral,1,0,k,Vélaire,1P+2N
亐,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
云,yun2,y,ün,Complexe,nasal,2,1,y,Semi-voyelle,2P+1N
互,hu4,h,u,Simple,oral,4,0,h,Vélaire,2P+1N
亓,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
五,wu3,w,u,Simple,oral,3,0,w,Semi-voyelle,2P+1N
井,jing3,j,ing,Médiale-i,nasal,3,1,j,Palatale,1P+2N
亖,si4,s,i,Simple,oral,4,0,s,Sifflante,1P+2N
亘,gen4,g,en,Nasal,nasal,4,1,g,Vélaire,1P+2N
亚,ya4,y,ia,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
些,xie1,x,ie,Médiale-i,oral,1,0,x,Palatale,1P+2N
亜,ya4,y,ia,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
亝,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
亟,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
亠,tou2,t,ou,Simple,oral,2,0,t,Dentale,3P
亡,wang2,w,uang,Médiale-u,nasal,2,1,w,Semi-voyelle,2P+1N
亢,kang4,k,ang,Nasal,nasal,4,1,k,Vélaire,1P+2N
交,jiao1,j,iao,Médiale-i,oral,1,0,j,Palatale,1P+2N
亥,hai4,h,ai,Simple,oral,4,0,h,Vélaire,2P+1N
亦,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
